date,MU,AABA,AAPL,VEON,INTC
1/2/2018,43.67,73.13,172.26,3.9,46.85
1/3/2018,44.98,73.78,172.23,3.99,45.26
1/4/2018,46.88,74.57,173.03,4,44.43
1/5/2018,45.8,76.49,175,4.01,44.74
1/8/2018,45.55,76.48,174.35,3.98,44.74
1/9/2018,42.97,76.59,174.33,3.89,43.62
1/10/2018,43.31,76.51,174.29,3.83,42.5
1/11/2018,42.82,76.14,175.28,3.885,43.41
1/12/2018,42.81,75.85,177.09,3.92,43.24
1/16/2018,42.92,73.92,176.19,3.92,43.14
1/17/2018,44.26,74.14,179.1,3.95,44.39
1/18/2018,43.99,74.23,179.26,3.89,44.48
1/19/2018,42.75,74.36,178.46,3.87,44.82
1/22/2018,42.88,74.16,177,3.94,45.75
1/23/2018,43.95,76.57,177.04,3.93,46.06
1/24/2018,43.08,77.81,174.22,3.95,45.51
1/25/2018,43.01,78.58,171.11,3.91,45.3
1/26/2018,43.67,80.3,171.51,3.9,50.08
1/29/2018,43.29,79.34,167.96,3.86,49.98
1/30/2018,41.67,78.27,166.97,3.8,48.79
1/31/2018,43.72,79.88,167.43,3.8,48.14
2/1/2018,42.49,76.01,167.78,3.78,47.65
2/2/2018,40.82,74.4,160.5,3.65,46.15
2/5/2018,39.4,72.51,156.49,3.7,44.52
2/6/2018,43.88,73.53,163.03,3.72,44.91
2/7/2018,42.01,72.16,159.54,3.63,45.2
2/8/2018,40,69.15,155.15,3.47,42.75
2/9/2018,40.41,70.48,156.41,3.42,43.95
2/12/2018,42.19,71.1,162.71,3.61,44.83
2/13/2018,42.63,71.31,164.34,3.58,44.46
2/14/2018,43.45,73.66,167.37,3.55,45.38
2/15/2018,43.5,74.4,172.99,3.56,45.92
2/16/2018,44.21,73.51,172.43,3.56,45.56
2/20/2018,44.9,74.59,171.85,3.6,46.32
2/21/2018,44.54,75.11,171.07,3.58,45.94
2/22/2018,44.25,75.52,172.5,3.07,45.8
2/23/2018,46.53,77.76,175.5,3.09,47.73
