date,MU,AABA,AAPL,VEON,INTC
2/25/2013,7.93,20.73,63.2571,11.79,20.23
2/26/2013,7.955,20.76,64.1386,11.61,20.58
2/27/2013,8.18,21.16,63.51,11.81,20.93
2/28/2013,8.375,21.305,63.0571,11.94,20.88
3/1/2013,8.25,21.94,61.4957,11.95,21.03
3/4/2013,8.4,22.7,60.0071,11.81,21.27
3/5/2013,8.73,22.95,61.592,12.12,21.51
3/6/2013,8.65,22.8,60.8088,12.5,21.75
3/7/2013,8.94,22.7,61.5117,12.41,21.89
3/8/2013,9.2,22.9,61.6743,12.24,21.58
3/11/2013,9.345,22.6,62.5528,12.26,21.69
3/12/2013,9.32,22.4,61.2043,12.08,21.64
3/13/2013,9.51,22.34,61.1928,12.01,21.655
3/14/2013,9.685,22.43,61.7857,11.99,21.65
3/15/2013,9.37,22.07,63.38,11.77,21.375
3/18/2013,9.18,22.01,65.1028,11.47,21.26
3/19/2013,9.24,22.17,64.9271,11.57,21.14
3/20/2013,9.31,22.095,64.5828,11.77,21.18
3/21/2013,9.07,22.86,64.6757,11.71,21.04
3/22/2013,10.04,23.26,65.9871,11.85,21.33
3/25/2013,9.88,23.38,66.2257,11.67,21.15
3/26/2013,9.92,23.59,65.8766,11.64,21.765
3/27/2013,9.96,23.59,64.5828,11.8,21.83
3/28/2013,9.975,23.529,63.2371,11.89,21.835
4/1/2013,9.38,23.5,61.2728,11.94,21.43
4/2/2013,9.3,23.78,61.3988,12.28,21.455
4/3/2013,9.1,23.38,61.7128,11.89,21.05
4/4/2013,9.31,23.52,61.1028,11.55,21.135
4/5/2013,9.31,23.3,60.4571,11.69,20.94
4/8/2013,9.39,23.48,60.8871,11.73,21.09
4/9/2013,9.57,23.83,60.9971,11.94,21.75
4/10/2013,10.085,24.2,62.2414,11.98,22.26
4/11/2013,9.98,24.485,62.0471,12.03,21.825
4/12/2013,10.01,24.69,61.4,12.28,21.675
4/15/2013,9.56,23.98,59.9786,12,21.38
4/16/2013,9.87,23.79,60.8914,12.13,21.915
4/17/2013,9.39,23.7,57.5428,11.98,21.93
4/18/2013,9.23,23.261,56.0071,12.37,22.24
4/19/2013,9.35,23.47,55.79,12.42,22.44
4/22/2013,9.31,23.95,56.9528,12.3,22.88
4/23/2013,9.42,24.38,58.0186,12.23,23.375
4/24/2013,9.415,24.75,57.9231,12.25,23.66
4/25/2013,9.53,25.2,58.34,11.53,23.38
4/26/2013,9.43,24.68,59.6007,11.27,23.4
4/29/2013,9.35,24.43,61.4457,11.08,23.76
4/30/2013,9.42,24.73,63.2543,10.95,23.95
5/1/2013,9.2,24.3,62.7557,10.92,23.99
5/2/2013,9.32,24.97,63.6457,10.72,24.11
5/3/2013,9.63,25.07,64.2828,10.7,23.96
5/6/2013,9.76,25.17,65.8157,10.72,23.91
5/7/2013,9.97,26.07,65.5226,10.8,24.15
5/8/2013,10.235,26.41,66.2628,11.21,24.25
5/9/2013,10.711,26.24,65.2528,11.13,24.36
5/10/2013,10.82,26.83,64.71,11.29,24.5
5/13/2013,10.66,26.39,64.9628,11.25,24.08
5/14/2013,10.65,26.64,63.4086,11.31,23.84
5/15/2013,10.87,27.34,61.2643,10.95,24.2
5/16/2013,11.06,26.58,62.0826,10.7,23.94
5/17/2013,11.31,26.52,61.8943,10.7,24.04
5/20/2013,11.21,26.58,63.2757,10.81,24.08
5/21/2013,11.23,27,62.8086,10.91,24.15
5/22/2013,10.92,26.54,63.0506,10.63,24.07
5/23/2013,11.39,26.02,63.1628,10.48,24.05
5/24/2013,11.59,26.33,63.5928,10.39,23.923
5/28/2013,11.78,26.07,63.0627,10.42,24.08
5/29/2013,11.83,25.81,63.5643,10.3,24.27
5/30/2013,11.89,26.33,64.5114,10.1,24.21
5/31/2013,11.68,26.3,64.2478,9.95,24.28
6/3/2013,11.73,26.39,64.3886,9.93,25.24
6/4/2013,11.71,26.26,64.1871,9.83,25.36
6/5/2013,12.02,25.75,63.5871,9.76,24.7
6/6/2013,12.35,26.21,62.6371,9.65,24.65
6/7/2013,12.65,27.04,63.1158,9.91,24.59
6/10/2013,12.95,26.74,62.6986,9.97,25.01
6/11/2013,12.81,26.4,62.5143,9.89,24.71
6/12/2013,12.489,25.89,61.7414,9.89,24.46
6/13/2013,12.91,26.37,62.2807,10.04,24.99
6/14/2013,12.76,26.28,61.4357,10.24,24.92
6/17/2013,13.24,26.54,61.7143,10.21,25.1
6/18/2013,13.75,26.66,61.6814,10.39,25.465
6/19/2013,13.97,26.24,60.4286,10.29,25
6/20/2013,13.535,25.35,59.5483,9.99,24.185
6/21/2013,13.9,25.19,59.0714,9.85,24.195
6/24/2013,13.46,24.065,57.5057,9.68,23.58
6/25/2013,13.75,24.955,57.5186,9.74,23.88
6/26/2013,14.175,25.285,56.8671,9.83,24.005
6/27/2013,14.34,25.47,56.2543,10.2,24.05
6/28/2013,14.33,25.13,56.6471,10.06,24.23
7/1/2013,14.27,25.24,58.46,10.08,23.886
7/2/2013,14.31,24.99,59.7843,9.96,23.72
7/3/2013,14.14,25.59,60.1143,9.79,23.762
7/5/2013,14.31,25.68,59.6314,9.97,24.06
7/8/2013,14.03,25.525,59.2928,9.91,23.185
7/9/2013,13.135,26.675,60.3357,9.89,23.135
7/10/2013,12.55,26.56,60.1043,9.96,23.25
7/11/2013,12.7,27.04,61.0411,10.16,23.99
7/12/2013,12.69,27.23,60.93,10.38,23.9
7/15/2013,13.07,27.34,61.0628,10.45,23.94
